brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Similac,"Formula, Soy, for Diarrhea, Ready-to-Feed",51db37c3176fe9790a899200,51c38f5d97c3e6d3d972f08a,70074512792,2,"Soy, for Diarrhea, Ready-to-Feed","Water (85.7%), Corn Syrup (4.8%), Sugar (Sucrose) (2.6%), Soy Oil (2.1%), Soy Protein Isolate (2.0%), Coconut Oil (1.4%), Soy Fiber (.77%). Less Than .5% of: Calcium Citrate, Potassium Citrate, Calcium Phosphate, Potassium Phosphate, Potassium Chloride, Mono- and Diglycerides, Soy Lecithin, Magnesium Chloride, Carrageenan, Sodium Chloride, Ascorbic Acid, Chorine Chloride, L-Methionine, Taurine, Ferrous Sulfate, M-Inositol, Zinc Sulfate, Alpha-Tocopheryl Acetate, L-Carnitine, Niacinamide, Calcium Pantothenate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Vitamin A Palmitate, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Potassium Iodide, Phylloquinone, Biotin, Sodium Selenite, Vitamin D3 and Cyanocobalamin.",100,0,null,null,null,null,null,null,null,null,null,null,3,0,0,0,0,null,null,5,fl oz,null,null,null,null,2014-11-24T20:24:24+00:00,null
Stewart's,"Premium Dark Chocolate, with Mint Cookie Crunch",51db37b1176fe9790a8984ba,556540ff5d613c9d5f5935a9,82086061441,2,null,null,280,160,18,11,0,null,null,5,60,34,3,25,3,2,0,2,10,null,1,1,bar,57,57,g,https://d1r9wva3zcpswd.cloudfront.net/5565417d5d613c9d5f5935c8.jpeg,2015-05-27T04:01:01+00:00,null
Yoplait,"Greek Yogurt, Lemon",51db37bd176fe9790a898e85,55806622970e3b40405abbc7,62100009741,2,null,null,100,0,0,0,0,null,null,2.5,80,14,0,9,10,4,10,10,null,null,null,1,container,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/5580691421a6d9323385f8ef.jpeg,2015-06-16T18:21:08+00:00,null
Essential Everyday,Blended Strawberry Lowfat Yogurt,51db37b0176fe9790a8983ec,528f56608c43e6311f002172,41303026434,2,null,null,240,20,2.5,1.5,0,null,null,10,130,45,0,39,10,20,4,30,0,null,4,1,cup,227,227,g,https://d1r9wva3zcpswd.cloudfront.net/536ac3db29a0839e7408f1cb.jpeg,2014-11-24T20:24:24+00:00,null
Lancaster,"Soft Cremes, Butterscotch & Caramel",51db37b7176fe9790a8989d4,5568a873dab661451562e70f,34000103799,2,null,null,180,60,7,5,0,null,null,5,140,30,0,19,1,2,0,4,0,null,5,7,pieces,42,42,g,https://d1r9wva3zcpswd.cloudfront.net/5568a8c5921e5a5715ed466b.jpeg,2015-05-29T17:58:30+00:00,null
From the Fields,"Porridge, Heirloom Rye, Rosemary Walnut Raisin",526e6739c8e1000200000016,54072cb47f1cfd9d3a07a887,855301002655,2,null,null,140,25,2.5,0,0,null,null,0,0,27,5,5,6,0,0,2,6,null,10,0.5,cup dry,40,40,g,https://d1r9wva3zcpswd.cloudfront.net/540739bda67cfab13a61ab1e.jpeg,2014-11-24T20:24:24+00:00,null
Wooden Shoe Cheese Co.,Shredded Mozzarella Cheese,54734b1cf2b4991f5f7db682,5516ac506f8a817858c21973,81401814052,2,null,null,80,50,6,3.6,null,null,null,15,190,0,0,0,7,4,0,20,0,null,null,1,oz,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/5516ac3229c77c25104685c1.jpeg,2015-03-28T13:27:14+00:00,null
Don Miguel,"Burrito, Bean & Cheese",51db37b3176fe9790a898625,51c36bf997c3e69de4b07e5a,27086184035,2,Bean & Cheese,"Filling: Cooked Beans (Water & Beans), Three Cheese (Pasteurized Process American Cheese, Cheddar Cheese & Monterey Jack Cheese [Cultured Pasteurized Milk, Salt, Enzymes, Natural Vegetable Coloring [Annatto and/or Apocarotenal], Water, Sodium Citrate, Milkfat, and May Contains Calcium Chloride]), Water, Green Chilies, Bell Peppers, Contains 2% or Less of: Modified Food Starch, Flavorings Including Paprika, Salt, Dehydrated Onion, Chile Pepper (Red Chile Peppers, Citric Acid), Bell Peppers (Bell Peppers, Water, Citric Acid), Guar Gum, Crushed Red Pepper. Tortilla: Enriched Flour (Bleached Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin & Folic Acid), Water, Soybean Oil, Salt, Baking Powder (Sodium Bicarbonate, Sodium Aluminum Sulfate, Corn Starch, Calcium Sulfate, Monocalcium Phosphate), Emulsifier (Sodium Stearoyl Lactylate and Guar Gum), Guar Gum, Sodium Metabisulfite (Dough Conditioner).",440,120,14,6,null,null,null,25,990,68,8,1,17,10,6,15,25,null,1,1,burrito,198,198,g,null,2014-11-24T20:24:24+00:00,null
Great Value,Red Wine Vinegar,51db37b1176fe9790a898466,51c5426a97c3e6efadd5c73d,78742230092,2,Fine Red Wine,"Red Wine Vinegar (Diluted With Water to 5% Acidity), Potassium Metabisulfite (A Preservative).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,1,tbsp,null,15,ml,https://d1r9wva3zcpswd.cloudfront.net/536020be2ae36a5775c0a4e1.jpeg,2014-11-24T20:24:24+00:00,null
Profile,Sweet Strawberry Smoothie,546a09b186f80d902a7c084f,54f5b6c66d947d10506cf2b1,811392020275,2,null,null,100,10,1,0,0,null,null,2.5,170,7,0,5,15,null,null,null,null,null,7,1,packet,27,27,g,https://d1r9wva3zcpswd.cloudfront.net/54f5b92ce8ca68af0ad74b3c.jpeg,2015-03-03T13:37:48+00:00,null
